젠타임,요일,평균기온(섭씨),일출시간,사장님에 나에게 네이트온으로 보낸 라인 수,내가 사장님과 점심을 먹음,비고,,일출시간,http://weather.naver.com/life/sunRiseSetView.nhn,,,
2015-11-11 오전 11:40,수,11.6,7:07,,,,,일자별 기온,http://www.kma.go.kr/weather/observation/past_cal.jsp,,,
2015-11-24 오후 4:45,화,5.6,7:20,,,,,,,,,
2015-12-1 오전 10:13,화,4,7:27,,,,요일 통계,,,,,
2015-12-8 오전 11:39,화,2.9,7:34,,,,,월,화,수,목,금
2015-12-9 오전 11:32,수,5,7:34,,,,젠 카운트,15,27,18,24,15
2015-12-11 오후 1:51,금,6.4,7:36,,,,확률,0.1515,0.2727,0.1818,0.2424,0.1515
2015-12-16 오후 2:07,수,-1,7:40,,,,,,,,,
2015-12-22 오전 11:02,화,3.1,7:43,,,,,,,,,
2015-12-30 오전 11:56,수,0.3,7:46,,,,,,,,,
2015-12-31 오전 11:28,목,0.7,7:47,,,,젠 확률 공식:,"(예측 정확도를 제외한)젠 확률 = (이전 주까지 누적 평균 주간 젠 비율) * 비례계수N + (오늘 요일 평균 젠 확률) * 비례계수M + (절댓값(오늘 금천구 예상 평균 기온 - 올해 금천구 예상 평균 기온) * 섭씨1도씨 변화에 따라 감소하는 평균 확률 감소량) * 비례계수P + (가장 늦은 금천구 일출시간 - 오늘 금천구 일출시간) * 비례계수Q

* 비례계수N + 비례계수M + 비례계수P + 비례계수Q = 1
* 비례계수는 데이터가 쌓여야 도출 가능
",,,,
2016-1-4 오전 11:40,월,2,7:47,,,,,,,,,
2016-1-5 오전 10:28,화,-2.7,7:47,,,,,,,,,
2016-1-6 오전 11:52,수,-1.7,7:47,,,,,,,,,
2016-1-8 오전 11:51,금,-3.3,7:47,,,,,,,,,
2016-1-12 오전 11:51,화,-5.2,7:47,,,,,,,,,
2016-1-14 오전 10:31,목,-3.4,7:46,,,,,,,,,
2016-1-18 오전 11:21,월,-6.3,7:45,0,,이 문서 만든 날짜,,,,,,
2016-1-21 오전 9:25,목,-7.1,7:44,0,TRUE,,,,,,,
2016-1-22 오전 10:37,금,-7.6,7:43,28,TRUE,간단맞고 작업 이슈를 폰피에 올림 -> 네이트온 메시지가 옴,,,,,,
2016-1-25 오전 11:08,월,-9.4,7:42,15,TRUE,,,,,,,
2016-1-26 오전 11:29,화,-3.3,7:41,0,TRUE,,,,,,,
2016-1-29 오후 3:13,금,-3.9,7:39,0,FALSE,라룽 퇴사 날 + 회식 있는 날,,,,,,
2016-2-1 오후 1:38,월,-6,7:36,15,FALSE,,,,,,,
2016-2-4 오전 11:39,목,-0.7,7:34,7,TRUE,,,,,,,
2016-2-11 오전 8:50,목,8.1,7:27,37,TRUE,9시 전에 오셔서 언제 오셨나 모름,,,,,,
2016-2-12 오전 11:11,금,8.4,7:26,20,TRUE,,,,,,,
2016-2-15 오후 12:00,월,-5.8,7:23,5,FALSE,점심 시간에 오심,,,,,,
2016-2-17 오전 9:34,수,0,7:20,9,TRUE,,,,,,,
2016-2-18 오후 1:06,목,3.5,7:19,92,FALSE,,,,,,,
2016-2-19 오전 11:01,금,2.3,7:18,0,TRUE,,,,,,,
